Six, Slow, FullFrame, One, One, Low, 165.0000
Six, Slow, CentralStamp, One, One, Low, 14.4000
Six, Slow, CentralStamp, One, One, High, 10.0000
Six, Slow, CentralStamp, One, Two, Low, 8.6000
Six, Slow, CentralStamp, One, Two, High, 10.0000
Six, Slow, CentralStamp, One, Four, Low, 6.4000
Six, Slow, CentralStamp, One, Four, High, 10.0000
Six, Slow, CentralStamp, Two, One, Low, 10.8000
Six, Slow, CentralStamp, Two, One, High, 10.0000
Six, Slow, CentralStamp, Two, Two, Low, 8.6000
Six, Slow, CentralStamp, Two, Two, High, 10.0000
Six, Slow, CentralStamp, Two, Four, Low, 7.0000
Six, Slow, CentralStamp, Two, Four, High, 10.0000
Six, Slow, CentralStamp, Four, One, Low, 10.6000
Six, Slow, CentralStamp, Four, One, High, 10.0000
Six, Slow, CentralStamp, Four, Two, Low, 8.6000
Six, Slow, CentralStamp, Four, Two, High, 10.0000
Six, Slow, CentralStamp, Four, Four, Low, 4.6000
Six, Slow, CentralStamp, Four, Four, High, 10.0000
Six, Slow, TopSpectrum, One, One, Low, 29.2526
Six, Slow, TopSpectrum, One, One, High, 29.2521
Six, Slow, TopSpectrum, One, Two, Low, 20.0000
Six, Slow, TopSpectrum, One, Two, High, 20.0000
Six, Slow, TopSpectrum, One, Four, Low, 10.0000
Six, Slow, TopSpectrum, One, Four, High, 10.0000
Six, Slow, TopSpectrum, Two, One, Low, 20.0000
Six, Slow, TopSpectrum, Two, One, High, 20.0000
Six, Slow, TopSpectrum, Two, Two, Low, 10.0000
Six, Slow, TopSpectrum, Two, Two, High, 10.0000
Six, Slow, TopSpectrum, Two, Four, Low, 10.0000
Six, Slow, TopSpectrum, Two, Four, High, 10.0000
Six, Slow, TopSpectrum, Four, One, Low, 20.0000
Six, Slow, TopSpectrum, Four, One, High, 20.0000
Six, Slow, TopSpectrum, Four, Two, Low, 10.0000
Six, Slow, TopSpectrum, Four, Two, High, 10.0000
Six, Slow, TopSpectrum, Four, Four, Low, 10.0000
Six, Slow, TopSpectrum, Four, Four, High, 10.0000
Six, Slow, BottomSpectrum, One, One, Low, 27.7087
Six, Slow, BottomSpectrum, One, One, High, 27.7083
Six, Slow, BottomSpectrum, One, Two, Low, 20.0000
Six, Slow, BottomSpectrum, One, Two, High, 20.0000
Six, Slow, BottomSpectrum, One, Four, Low, 10.0000
Six, Slow, BottomSpectrum, One, Four, High, 10.0000
Six, Slow, BottomSpectrum, Two, One, Low, 20.0000
Six, Slow, BottomSpectrum, Two, One, High, 20.0000
Six, Slow, BottomSpectrum, Two, Two, Low, 10.0000
Six, Slow, BottomSpectrum, Two, Two, High, 10.0000
Six, Slow, BottomSpectrum, Two, Four, Low, 10.0000
Six, Slow, BottomSpectrum, Two, Four, High, 10.0000
Six, Slow, BottomSpectrum, Four, One, Low, 20.0000
Six, Slow, BottomSpectrum, Four, One, High, 20.0000
Six, Slow, BottomSpectrum, Four, Two, Low, 10.0000
Six, Slow, BottomSpectrum, Four, Two, High, 10.0000
Six, Slow, BottomSpectrum, Four, Four, Low, 10.0000
Six, Slow, BottomSpectrum, Four, Four, High, 10.0000
Six, Fast, FullFrame, One, One, Low, 70.8000
Six, Fast, FullFrame, One, One, High, 70.0000
Six, Fast, FullFrame, One, Two, Low, 36.0000
Six, Fast, FullFrame, One, Two, High, 35.8000
Six, Fast, FullFrame, One, Four, Low, 16.2000
Six, Fast, FullFrame, One, Four, High, 16.6000
Six, Fast, FullFrame, Two, One, Low, 48.8000
Six, Fast, FullFrame, Two, One, High, 49.0000
Six, Fast, FullFrame, Two, Two, Low, 22.6000
Six, Fast, FullFrame, Two, Two, High, 22.6000
Six, Fast, FullFrame, Two, Four, Low, 9.8000
Six, Fast, FullFrame, Two, Four, High, 9.8000
Six, Fast, FullFrame, Four, One, Low, 43.6000
Six, Fast, FullFrame, Four, One, High, 43.2000
Six, Fast, FullFrame, Four, Two, Low, 19.6000
Six, Fast, FullFrame, Four, Two, High, 19.6000
Six, Fast, FullFrame, Four, Four, Low, 9.0000
Six, Fast, FullFrame, Four, Four, High, 9.2000
Six, Fast, Ccd2, One, One, Low, 55.8000
Six, Fast, Ccd2, One, One, High, 56.6000
Six, Fast, Ccd2, One, Two, Low, 33.2000
Six, Fast, Ccd2, One, Two, High, 33.0000
Six, Fast, Ccd2, One, Four, Low, 15.0000
Six, Fast, Ccd2, One, Four, High, 14.8000
Six, Fast, Ccd2, Two, One, Low, 41.2000
Six, Fast, Ccd2, Two, One, High, 41.2000
Six, Fast, Ccd2, Two, Two, Low, 19.4000
Six, Fast, Ccd2, Two, Two, High, 19.0000
Six, Fast, Ccd2, Two, Four, Low, 9.4000
Six, Fast, Ccd2, Two, Four, High, 9.4000
Six, Fast, Ccd2, Four, One, Low, 39.4000
Six, Fast, Ccd2, Four, One, High, 39.0000
Six, Fast, Ccd2, Four, Two, Low, 19.0000
Six, Fast, Ccd2, Four, Two, High, 18.8000
Six, Fast, Ccd2, Four, Four, Low, 7.0000
Six, Fast, Ccd2, Four, Four, High, 7.0000
Six, Fast, CentralSpectrum, One, One, Low, 22.4000
Six, Fast, CentralSpectrum, One, One, High, 22.2000
Six, Fast, CentralSpectrum, One, Two, Low, 13.4000
Six, Fast, CentralSpectrum, One, Two, High, 13.4000
Six, Fast, CentralSpectrum, One, Four, Low, 7.2000
Six, Fast, CentralSpectrum, One, Four, High, 7.0000
Six, Fast, CentralSpectrum, Two, One, Low, 17.6000
Six, Fast, CentralSpectrum, Two, One, High, 17.8000
Six, Fast, CentralSpectrum, Two, Two, Low, 9.0000
Six, Fast, CentralSpectrum, Two, Two, High, 9.2000
Six, Fast, CentralSpectrum, Two, Four, Low, 7.0000
Six, Fast, CentralSpectrum, Two, Four, High, 7.2000
Six, Fast, CentralSpectrum, Four, One, Low, 13.0000
Six, Fast, CentralSpectrum, Four, One, High, 13.6000
Six, Fast, CentralSpectrum, Four, Two, Low, 9.0000
Six, Fast, CentralSpectrum, Four, Two, High, 8.6000
Six, Fast, CentralSpectrum, Four, Four, Low, 6.6000
Six, Fast, CentralSpectrum, Four, Four, High, 6.8000
Six, Fast, CentralStamp, One, One, Low, 8.4000
Six, Fast, CentralStamp, One, One, High, 8.6000
Six, Fast, CentralStamp, One, Two, Low, 6.4000
Six, Fast, CentralStamp, One, Two, High, 6.6000
Six, Fast, CentralStamp, One, Four, Low, 6.8000
Six, Fast, CentralStamp, One, Four, High, 6.6000
Six, Fast, CentralStamp, Two, One, Low, 6.4000
Six, Fast, CentralStamp, Two, One, High, 6.6000
Six, Fast, CentralStamp, Two, Two, Low, 7.0000
Six, Fast, CentralStamp, Two, Two, High, 7.0000
Six, Fast, CentralStamp, Two, Four, Low, 7.0000
Six, Fast, CentralStamp, Two, Four, High, 7.0000
Six, Fast, CentralStamp, Four, One, Low, 6.6000
Six, Fast, CentralStamp, Four, One, High, 6.4000
Six, Fast, CentralStamp, Four, Two, Low, 6.6000
Six, Fast, CentralStamp, Four, Two, High, 6.6000
Six, Fast, CentralStamp, Four, Four, Low, 4.4000
Six, Fast, CentralStamp, Four, Four, High, 5.0000
Six, Fast, TopSpectrum, One, One, Low, 20.0000
Six, Fast, TopSpectrum, One, One, High, 20.0000
Six, Fast, TopSpectrum, One, Two, Low, 10.0000
Six, Fast, TopSpectrum, One, Two, High, 10.0000
Six, Fast, TopSpectrum, One, Four, Low, 10.0000
Six, Fast, TopSpectrum, One, Four, High, 10.0000
Six, Fast, TopSpectrum, Two, One, Low, 10.0000
Six, Fast, TopSpectrum, Two, One, High, 10.0000
Six, Fast, TopSpectrum, Two, Two, Low, 10.0000
Six, Fast, TopSpectrum, Two, Two, High, 10.0000
Six, Fast, TopSpectrum, Two, Four, Low, 10.0000
Six, Fast, TopSpectrum, Two, Four, High, 10.0000
Six, Fast, TopSpectrum, Four, One, Low, 10.0000
Six, Fast, TopSpectrum, Four, One, High, 10.0000
Six, Fast, TopSpectrum, Four, Two, Low, 10.0000
Six, Fast, TopSpectrum, Four, Two, High, 10.0000
Six, Fast, TopSpectrum, Four, Four, Low, 10.0000
Six, Fast, TopSpectrum, Four, Four, High, 10.0000
Six, Fast, BottomSpectrum, One, One, Low, 20.0000
Six, Fast, BottomSpectrum, One, One, High, 20.0000
Six, Fast, BottomSpectrum, One, Two, Low, 10.0000
Six, Fast, BottomSpectrum, One, Two, High, 10.0000
Six, Fast, BottomSpectrum, One, Four, Low, 10.0000
Six, Fast, BottomSpectrum, One, Four, High, 10.0000
Six, Fast, BottomSpectrum, Two, One, Low, 10.0000
Six, Fast, BottomSpectrum, Two, One, High, 10.0000
Six, Fast, BottomSpectrum, Two, Two, Low, 10.0000
Six, Fast, BottomSpectrum, Two, Two, High, 10.0000
Six, Fast, BottomSpectrum, Two, Four, Low, 10.0000
Six, Fast, BottomSpectrum, Two, Four, High, 10.0000
Six, Fast, BottomSpectrum, Four, One, Low, 10.0000
Six, Fast, BottomSpectrum, Four, One, High, 10.0000
Six, Fast, BottomSpectrum, Four, Two, Low, 10.0000
Six, Fast, BottomSpectrum, Four, Two, High, 10.0000
Six, Fast, BottomSpectrum, Four, Four, Low, 10.0000
Six, Fast, BottomSpectrum, Four, Four, High, 10.0000
Twelve, Slow, FullFrame, One, One, Low, 82.5000
Twelve, Slow, FullFrame, One, One, High, 30.0000
Twelve, Slow, FullFrame, One, Two, Low, 41.1000
Twelve, Slow, FullFrame, One, Two, High, 30.0000
Twelve, Slow, FullFrame, One, Four, Low, 20.1000
Twelve, Slow, FullFrame, One, Four, High, 20.0000
Twelve, Slow, FullFrame, Two, One, Low, 50.3000
Twelve, Slow, FullFrame, Two, One, High, 30.0000
Twelve, Slow, FullFrame, Two, Two, Low, 24.3000
Twelve, Slow, FullFrame, Two, Two, High, 21.0027
Twelve, Slow, FullFrame, Two, Four, Low, 12.1000
Twelve, Slow, FullFrame, Two, Four, High, 20.0000
Twelve, Slow, FullFrame, Four, One, Low, 33.4000
Twelve, Slow, FullFrame, Four, One, High, 26.6824
Twelve, Slow, FullFrame, Four, Two, Low, 15.9000
Twelve, Slow, FullFrame, Four, Two, High, 20.0000
Twelve, Slow, FullFrame, Four, Four, Low, 7.6000
Twelve, Slow, FullFrame, Four, Four, High, 10.0000
Twelve, Slow, Ccd2, One, One, Low, 79.0000
Twelve, Slow, Ccd2, One, One, High, 30.0000
Twelve, Slow, Ccd2, One, Two, Low, 39.5000
Twelve, Slow, Ccd2, One, Two, High, 30.0000
Twelve, Slow, Ccd2, One, Four, Low, 19.5000
Twelve, Slow, Ccd2, One, Four, High, 20.0000
Twelve, Slow, Ccd2, Two, One, Low, 46.7000
Twelve, Slow, Ccd2, Two, One, High, 30.0000
Twelve, Slow, Ccd2, Two, Two, Low, 23.5000
Twelve, Slow, Ccd2, Two, Two, High, 21.0029
Twelve, Slow, Ccd2, Two, Four, Low, 10.7000
Twelve, Slow, Ccd2, Two, Four, High, 20.0000
Twelve, Slow, Ccd2, Four, One, Low, 30.7000
Twelve, Slow, Ccd2, Four, One, High, 26.6823
Twelve, Slow, Ccd2, Four, Two, Low, 14.8000
Twelve, Slow, Ccd2, Four, Two, High, 20.0000
Twelve, Slow, Ccd2, Four, Four, Low, 6.3000
Twelve, Slow, Ccd2, Four, Four, High, 10.0000
Twelve, Slow, CentralSpectrum, One, One, Low, 20.1000
Twelve, Slow, CentralSpectrum, One, One, High, 20.0000
Twelve, Slow, CentralSpectrum, One, Two, Low, 10.7000
Twelve, Slow, CentralSpectrum, One, Two, High, 10.0000
Twelve, Slow, CentralSpectrum, One, Four, Low, 6.6000
Twelve, Slow, CentralSpectrum, One, Four, High, 10.0000
Twelve, Slow, CentralSpectrum, Two, One, Low, 15.0000
Twelve, Slow, CentralSpectrum, Two, One, High, 10.0000
Twelve, Slow, CentralSpectrum, Two, Two, Low, 8.6000
Twelve, Slow, CentralSpectrum, Two, Two, High, 10.0000
Twelve, Slow, CentralSpectrum, Two, Four, Low, 4.6000
Twelve, Slow, CentralSpectrum, Two, Four, High, 10.0000
Twelve, Slow, CentralSpectrum, Four, One, Low, 10.5000
Twelve, Slow, CentralSpectrum, Four, One, High, 10.0000
Twelve, Slow, CentralSpectrum, Four, Two, Low, 6.5000
Twelve, Slow, CentralSpectrum, Four, Two, High, 10.0000
Twelve, Slow, CentralSpectrum, Four, Four, Low, 4.4000
Twelve, Slow, CentralSpectrum, Four, Four, High, 10.0000
Twelve, Slow, CentralStamp, One, One, Low, 7.2000
Twelve, Slow, CentralStamp, One, One, High, 10.0000
Twelve, Slow, CentralStamp, One, Two, Low, 4.3000
Twelve, Slow, CentralStamp, One, Two, High, 10.0000
Twelve, Slow, CentralStamp, One, Four, Low, 3.2000
Twelve, Slow, CentralStamp, One, Four, High, 10.0000
Twelve, Slow, CentralStamp, Two, One, Low, 5.4000
Twelve, Slow, CentralStamp, Two, One, High, 10.0000
Twelve, Slow, CentralStamp, Two, Two, Low, 4.3000
Twelve, Slow, CentralStamp, Two, Two, High, 10.0000
Twelve, Slow, CentralStamp, Two, Four, Low, 3.5000
Twelve, Slow, CentralStamp, Two, Four, High, 10.0000
Twelve, Slow, CentralStamp, Four, One, Low, 5.3000
Twelve, Slow, CentralStamp, Four, One, High, 10.0000
Twelve, Slow, CentralStamp, Four, Two, Low, 4.3000
Twelve, Slow, CentralStamp, Four, Two, High, 10.0000
Twelve, Slow, CentralStamp, Four, Four, Low, 2.3000
Twelve, Slow, CentralStamp, Four, Four, High, 10.0000
Twelve, Slow, TopSpectrum, One, One, Low, 20.0000
Twelve, Slow, TopSpectrum, One, One, High, 20.0000
Twelve, Slow, TopSpectrum, One, Two, Low, 10.0000
Twelve, Slow, TopSpectrum, One, Two, High, 10.0000
Twelve, Slow, TopSpectrum, One, Four, Low, 10.0000
Twelve, Slow, TopSpectrum, One, Four, High, 10.0000
Twelve, Slow, TopSpectrum, Two, One, Low, 20.0000
Twelve, Slow, TopSpectrum, Two, One, High, 20.0000
Twelve, Slow, TopSpectrum, Two, Two, Low, 10.0000
Twelve, Slow, TopSpectrum, Two, Two, High, 10.0000
Twelve, Slow, TopSpectrum, Two, Four, Low, 10.0000
Twelve, Slow, TopSpectrum, Two, Four, High, 10.0000
Twelve, Slow, TopSpectrum, Four, One, Low, 10.0000
Twelve, Slow, TopSpectrum, Four, One, High, 10.0000
Twelve, Slow, TopSpectrum, Four, Two, Low, 10.0000
Twelve, Slow, TopSpectrum, Four, Two, High, 10.0000
Twelve, Slow, TopSpectrum, Four, Four, Low, 10.0000
Twelve, Slow, TopSpectrum, Four, Four, High, 10.0000
Twelve, Slow, BottomSpectrum, One, One, Low, 20.0000
Twelve, Slow, BottomSpectrum, One, One, High, 20.0000
Twelve, Slow, BottomSpectrum, One, Two, Low, 10.0000
Twelve, Slow, BottomSpectrum, One, Two, High, 10.0000
Twelve, Slow, BottomSpectrum, One, Four, Low, 10.0000
Twelve, Slow, BottomSpectrum, One, Four, High, 10.0000
Twelve, Slow, BottomSpectrum, Two, One, Low, 10.0000
Twelve, Slow, BottomSpectrum, Two, One, High, 10.0000
Twelve, Slow, BottomSpectrum, Two, Two, Low, 10.0000
Twelve, Slow, BottomSpectrum, Two, Two, High, 10.0000
Twelve, Slow, BottomSpectrum, Two, Four, Low, 10.0000
Twelve, Slow, BottomSpectrum, Two, Four, High, 10.0000
Twelve, Slow, BottomSpectrum, Four, One, Low, 10.0000
Twelve, Slow, BottomSpectrum, Four, One, High, 10.0000
Twelve, Slow, BottomSpectrum, Four, Two, Low, 10.0000
Twelve, Slow, BottomSpectrum, Four, Two, High, 10.0000
Twelve, Slow, BottomSpectrum, Four, Four, Low, 10.0000
Twelve, Slow, BottomSpectrum, Four, Four, High, 10.0000
Twelve, Fast, FullFrame, One, One, Low, 35.4000
Twelve, Fast, FullFrame, One, One, High, 35.0000
Twelve, Fast, FullFrame, One, Two, Low, 18.0000
Twelve, Fast, FullFrame, One, Two, High, 17.9000
Twelve, Fast, FullFrame, One, Four, Low, 8.1000
Twelve, Fast, FullFrame, One, Four, High, 8.3000
Twelve, Fast, FullFrame, Two, One, Low, 24.4000
Twelve, Fast, FullFrame, Two, One, High, 24.5000
Twelve, Fast, FullFrame, Two, Two, Low, 11.3000
Twelve, Fast, FullFrame, Two, Two, High, 11.3000
Twelve, Fast, FullFrame, Two, Four, Low, 4.9000
Twelve, Fast, FullFrame, Two, Four, High, 4.9000
Twelve, Fast, FullFrame, Four, One, Low, 21.8000
Twelve, Fast, FullFrame, Four, One, High, 21.6000
Twelve, Fast, FullFrame, Four, Two, Low, 9.8000
Twelve, Fast, FullFrame, Four, Two, High, 9.8000
Twelve, Fast, FullFrame, Four, Four, Low, 4.5000
Twelve, Fast, FullFrame, Four, Four, High, 4.6000
Twelve, Fast, Ccd2, One, One, Low, 27.9000
Twelve, Fast, Ccd2, One, One, High, 28.3000
Twelve, Fast, Ccd2, One, Two, Low, 16.6000
Twelve, Fast, Ccd2, One, Two, High, 16.5000
Twelve, Fast, Ccd2, One, Four, Low, 7.5000
Twelve, Fast, Ccd2, One, Four, High, 7.4000
Twelve, Fast, Ccd2, Two, One, Low, 20.6000
Twelve, Fast, Ccd2, Two, One, High, 20.6000
Twelve, Fast, Ccd2, Two, Two, Low, 9.7000
Twelve, Fast, Ccd2, Two, Two, High, 9.5000
Twelve, Fast, Ccd2, Two, Four, Low, 4.7000
Twelve, Fast, Ccd2, Two, Four, High, 4.7000
Twelve, Fast, Ccd2, Four, One, Low, 19.7000
Twelve, Fast, Ccd2, Four, One, High, 19.5000
Twelve, Fast, Ccd2, Four, Two, Low, 9.5000
Twelve, Fast, Ccd2, Four, Two, High, 9.4000
Twelve, Fast, Ccd2, Four, Four, Low, 3.5000
Twelve, Fast, Ccd2, Four, Four, High, 3.5000
Twelve, Fast, CentralSpectrum, One, One, Low, 11.2000
Twelve, Fast, CentralSpectrum, One, One, High, 11.1000
Twelve, Fast, CentralSpectrum, One, Two, Low, 6.7000
Twelve, Fast, CentralSpectrum, One, Two, High, 6.7000
Twelve, Fast, CentralSpectrum, One, Four, Low, 3.6000
Twelve, Fast, CentralSpectrum, One, Four, High, 3.5000
Twelve, Fast, CentralSpectrum, Two, One, Low, 8.8000
Twelve, Fast, CentralSpectrum, Two, One, High, 8.9000
Twelve, Fast, CentralSpectrum, Two, Two, Low, 4.5000
Twelve, Fast, CentralSpectrum, Two, Two, High, 4.6000
Twelve, Fast, CentralSpectrum, Two, Four, Low, 3.5000
Twelve, Fast, CentralSpectrum, Two, Four, High, 3.6000
Twelve, Fast, CentralSpectrum, Four, One, Low, 6.5000
Twelve, Fast, CentralSpectrum, Four, One, High, 6.8000
Twelve, Fast, CentralSpectrum, Four, Two, Low, 4.5000
Twelve, Fast, CentralSpectrum, Four, Two, High, 4.3000
Twelve, Fast, CentralSpectrum, Four, Four, Low, 3.3000
Twelve, Fast, CentralSpectrum, Four, Four, High, 3.4000
Twelve, Fast, CentralStamp, One, One, Low, 4.2000
Twelve, Fast, CentralStamp, One, One, High, 4.3000
Twelve, Fast, CentralStamp, One, Two, Low, 3.2000
Twelve, Fast, CentralStamp, One, Two, High, 3.3000
Twelve, Fast, CentralStamp, One, Four, Low, 3.4000
Twelve, Fast, CentralStamp, One, Four, High, 3.3000
Twelve, Fast, CentralStamp, Two, One, Low, 3.2000
Twelve, Fast, CentralStamp, Two, One, High, 3.3000
Twelve, Fast, CentralStamp, Two, Two, Low, 3.5000
Twelve, Fast, CentralStamp, Two, Two, High, 3.5000
Twelve, Fast, CentralStamp, Two, Four, Low, 3.5000
Twelve, Fast, CentralStamp, Two, Four, High, 3.5000
Twelve, Fast, CentralStamp, Four, One, Low, 3.3000
Twelve, Fast, CentralStamp, Four, One, High, 3.2000
Twelve, Fast, CentralStamp, Four, Two, Low, 3.3000
Twelve, Fast, CentralStamp, Four, Two, High, 3.3000
Twelve, Fast, CentralStamp, Four, Four, Low, 2.2000
Twelve, Fast, CentralStamp, Four, Four, High, 2.5000
Twelve, Fast, TopSpectrum, One, One, Low, 10.0000
Twelve, Fast, TopSpectrum, One, One, High, 10.0000
Twelve, Fast, TopSpectrum, One, Two, Low, 10.0000
Twelve, Fast, TopSpectrum, One, Two, High, 10.0000
Twelve, Fast, TopSpectrum, One, Four, Low, 10.0000
Twelve, Fast, TopSpectrum, One, Four, High, 10.0000
Twelve, Fast, TopSpectrum, Two, One, Low, 10.0000
Twelve, Fast, TopSpectrum, Two, One, High, 10.0000
Twelve, Fast, TopSpectrum, Two, Two, Low, 10.0000
Twelve, Fast, TopSpectrum, Two, Two, High, 10.0000
Twelve, Fast, TopSpectrum, Two, Four, Low, 10.0000
Twelve, Fast, TopSpectrum, Two, Four, High, 10.0000
Twelve, Fast, TopSpectrum, Four, One, Low, 10.0000
Twelve, Fast, TopSpectrum, Four, One, High, 10.0000
Twelve, Fast, TopSpectrum, Four, Two, Low, 10.0000
Twelve, Fast, TopSpectrum, Four, Two, High, 10.0000
Twelve, Fast, TopSpectrum, Four, Four, Low, 10.0000
Twelve, Fast, TopSpectrum, Four, Four, High, 10.0000
Twelve, Fast, BottomSpectrum, One, One, Low, 10.0000
Twelve, Fast, BottomSpectrum, One, One, High, 10.0000
Twelve, Fast, BottomSpectrum, One, Two, Low, 10.0000
Twelve, Fast, BottomSpectrum, One, Two, High, 10.0000
Twelve, Fast, BottomSpectrum, One, Four, Low, 10.0000
Twelve, Fast, BottomSpectrum, One, Four, High, 10.0000
Twelve, Fast, BottomSpectrum, Two, One, Low, 10.0000
Twelve, Fast, BottomSpectrum, Two, One, High, 10.0000
Twelve, Fast, BottomSpectrum, Two, Two, Low, 10.0000
Twelve, Fast, BottomSpectrum, Two, Two, High, 10.0000
Twelve, Fast, BottomSpectrum, Two, Four, Low, 10.0000
Twelve, Fast, BottomSpectrum, Two, Four, High, 10.0000
Twelve, Fast, BottomSpectrum, Four, One, Low, 10.0000
Twelve, Fast, BottomSpectrum, Four, One, High, 10.0000
Twelve, Fast, BottomSpectrum, Four, Two, Low, 10.0000
Twelve, Fast, BottomSpectrum, Four, Two, High, 10.0000
Twelve, Fast, BottomSpectrum, Four, Four, Low, 10.0000
Twelve, Fast, BottomSpectrum, Four, Four, High, 10.0000
